[ 2025-05-16 07:18:44,933 ]  18 root  -  INFO  -  Initiate the data ingestion 
[ 2025-05-16 07:18:46,944 ]  95 root  -  INFO  -  Preformed train test split on the dataframe 
[ 2025-05-16 07:18:46,944 ]  96 root  -  INFO  -  existing split_data_as_train_test method of Data_Ingestion_class 
[ 2025-05-16 07:18:46,944 ]  101 root  -  INFO  -  Exporting train and test file path 
[ 2025-05-16 07:18:47,034 ]  107 root  -  INFO  -  Exported train and test path. 
[ 2025-05-16 07:18:47,034 ]  20 root  -  INFO  -  Data Initiation complete 
[ 2025-05-16 07:18:47,037 ]  24 root  -  INFO  -  Initiate the Data Validation 
[ 2025-05-16 07:18:47,068 ]  34 root  -  INFO  -  Required number of columns: 2 
[ 2025-05-16 07:18:47,068 ]  35 root  -  INFO  -  Data frame has columns : 31 
[ 2025-05-16 07:18:47,068 ]  34 root  -  INFO  -  Required number of columns: 2 
[ 2025-05-16 07:18:47,068 ]  35 root  -  INFO  -  Data frame has columns : 31 
[ 2025-05-16 07:18:47,069 ]  46 root  -  INFO  -  Has numerical columns: True 
[ 2025-05-16 07:18:47,069 ]  46 root  -  INFO  -  Has numerical columns: True 
[ 2025-05-16 07:18:47,227 ]  26 root  -  INFO  -  data validation completed 
